,Ground energy,Opt_gamma_beta,Counts,Approx. ratio
29,4.7353515625,[-0.75470704  0.30813066],"{'00000': 3, '00001': 7, '00011': 23, '00100': 36, '00101': 102, '00110': 17, '00111': 126, '01001': 29, '01011': 30, '01100': 13, '01101': 94, '01110': 1, '01111': 3, '10000': 7, '10001': 1, '10010': 111, '10011': 23, '10100': 36, '10101': 2, '10110': 34, '10111': 1, '11000': 114, '11001': 22, '11010': 110, '11011': 39, '11100': 30, '11110': 8, '11111': 2}",1.18505859375
30,5.2744140625,[-0.79687743  0.38591124],"{'00000': 8, '00001': 21, '00010': 4, '00011': 20, '00100': 33, '00101': 124, '00110': 15, '00111': 104, '01000': 1, '01001': 15, '01010': 10, '01011': 39, '01100': 13, '01101': 103, '01110': 5, '01111': 20, '10000': 21, '10001': 2, '10010': 100, '10011': 9, '10100': 23, '10101': 7, '10110': 23, '10111': 5, '11000': 90, '11001': 18, '11010': 113, '11011': 38, '11100': 13, '11101': 2, '11110': 19, '11111': 6}",1.317138671875
31,4.5078125,[-0.79698889  0.3219547 ],"{'00000': 3, '00001': 10, '00010': 1, '00011': 19, '00100': 29, '00101': 129, '00110': 25, '00111': 104, '01000': 2, '01001': 31, '01010': 7, '01011': 57, '01100': 17, '01101': 88, '01110': 1, '01111': 9, '10000': 19, '10001': 4, '10010': 103, '10011': 9, '10100': 35, '10101': 1, '10110': 13, '10111': 5, '11000': 81, '11001': 21, '11010': 121, '11011': 39, '11100': 18, '11101': 3, '11110': 14, '11111': 6}",1.1240234375
32,4.0751953125,[-0.74737603  0.42580253],"{'00000': 8, '00001': 23, '00010': 2, '00011': 11, '00100': 36, '00101': 151, '00110': 15, '00111': 93, '01000': 3, '01001': 13, '01010': 10, '01011': 23, '01100': 11, '01101': 82, '01110': 2, '01111': 22, '10000': 21, '10001': 4, '10010': 96, '10011': 14, '10100': 32, '10101': 9, '10110': 17, '10111': 4, '11000': 106, '11001': 16, '11010': 124, '11011': 33, '11100': 17, '11101': 4, '11110': 16, '11111': 6}",0.997314453125
33,4.109375,[-0.83599097  0.3400781 ],"{'00000': 11, '00001': 24, '00010': 1, '00011': 15, '00100': 32, '00101': 100, '00110': 10, '00111': 110, '01000': 6, '01001': 18, '01010': 4, '01011': 45, '01100': 14, '01101': 88, '01110': 3, '01111': 18, '10000': 13, '10001': 1, '10010': 111, '10011': 19, '10100': 46, '10101': 4, '10110': 28, '10111': 1, '11000': 112, '11001': 15, '11010': 109, '11011': 27, '11100': 19, '11101': 4, '11110': 14, '11111': 2}",1.052001953125
34,3.453125,[-0.72430733  0.2782865 ],"{'00000': 3, '00001': 1, '00011': 19, '00100': 37, '00101': 115, '00110': 22, '00111': 122, '01000': 1, '01001': 25, '01010': 1, '01011': 34, '01100': 25, '01101': 111, '01110': 1, '01111': 3, '10000': 2, '10001': 4, '10010': 114, '10011': 21, '10100': 26, '10110': 20, '11000': 102, '11001': 32, '11010': 108, '11011': 47, '11100': 28}",0.841064453125
35,1.5859375,[-0.82465838  0.40343063],"{'00000': 6, '00001': 31, '00010': 7, '00011': 16, '00100': 24, '00101': 125, '00110': 22, '00111': 81, '01000': 4, '01001': 10, '01010': 14, '01011': 41, '01100': 11, '01101': 78, '01110': 1, '01111': 24, '10000': 29, '10001': 2, '10010': 98, '10011': 17, '10100': 33, '10101': 12, '10110': 16, '10111': 12, '11000': 96, '11001': 11, '11010': 117, '11011': 29, '11100': 17, '11101': 4, '11110': 28, '11111': 8}",0.40380859375
36,2.1171875,[-0.18284538 -0.45811319],"{'00000': 14, '00001': 24, '00010': 26, '00011': 44, '00100': 13, '00101': 16, '00110': 32, '00111': 40, '01000': 18, '01001': 37, '01010': 37, '01011': 40, '01100': 43, '01101': 35, '01110': 39, '01111': 31, '10000': 33, '10001': 43, '10010': 31, '10011': 38, '10100': 54, '10101': 37, '10110': 49, '10111': 14, '11000': 42, '11001': 29, '11010': 19, '11011': 23, '11100': 31, '11101': 33, '11110': 43, '11111': 16}",0.541015625
37,4.216796875,[-0.72796153  0.33013908],"{'00000': 2, '00001': 4, '00010': 1, '00011': 18, '00100': 29, '00101': 132, '00110': 13, '00111': 110, '01000': 1, '01001': 19, '01010': 1, '01011': 37, '01100': 10, '01101': 118, '01110': 2, '01111': 9, '10000': 5, '10001': 3, '10010': 87, '10011': 24, '10100': 42, '10101': 4, '10110': 21, '11000': 96, '11001': 26, '11010': 133, '11011': 42, '11100': 27, '11110': 7, '11111': 1}",1.067626953125
38,5.390625,[-0.7365356   0.30858453],"{'00000': 4, '00001': 5, '00011': 30, '00100': 35, '00101': 106, '00110': 20, '00111': 108, '01001': 27, '01011': 33, '01100': 26, '01101': 105, '01110': 4, '01111': 6, '10000': 5, '10001': 3, '10010': 107, '10011': 23, '10100': 27, '10101': 2, '10110': 29, '11000': 98, '11001': 16, '11010': 132, '11011': 31, '11100': 31, '11110': 8, '11111': 3}",1.344482421875
39,5.220703125,[-0.81495082  0.32918591],"{'00000': 5, '00001': 16, '00010': 1, '00011': 18, '00100': 36, '00101': 121, '00110': 19, '00111': 105, '01000': 3, '01001': 23, '01010': 6, '01011': 40, '01100': 17, '01101': 98, '01110': 3, '01111': 12, '10000': 12, '10010': 108, '10011': 13, '10100': 42, '10101': 5, '10110': 28, '10111': 1, '11000': 78, '11001': 19, '11010': 111, '11011': 34, '11100': 24, '11101': 3, '11110': 20, '11111': 3}",1.2724609375
