,Ground energy,Opt_gamma_beta,Counts,Approx. ratio,Min. key,Last iter.
25,7,"[[-0.1808296   0.4502111 ]
 [-0.3511167   0.3106861 ]
 [-0.38126394  0.27129725]
 [-0.4925165   0.24233098]
 [-0.55781543  0.15174508]]","{'000000': 325, '000001': 15, '000010': 130, '000011': 40, '000100': 357, '000101': 8, '000110': 4, '000111': 1344, '001000': 58, '001001': 2628, '001010': 88, '001011': 1563, '001100': 80, '001101': 6, '001110': 464, '001111': 279, '010000': 21, '010001': 17, '010010': 42, '010011': 28340, '010100': 7, '010101': 13, '010110': 1283, '010111': 1420, '011000': 2452, '011001': 4419, '011010': 1628, '011011': 2523, '011100': 4, '011101': 14, '011110': 280, '011111': 32, '100000': 33, '100001': 238, '100010': 14, '100011': 11, '100100': 2594, '100101': 1595, '100110': 4453, '100111': 2548, '101000': 1484, '101001': 1328, '101010': 7, '101011': 9, '101100': 28404, '101101': 37, '101110': 17, '101111': 23, '110000': 255, '110001': 470, '110010': 9, '110011': 72, '110100': 1583, '110101': 148, '110110': 2456, '110111': 40, '111000': 1415, '111001': 5, '111010': 11, '111011': 360, '111100': 49, '111101': 136, '111110': 16, '111111': 296}",0.93019825,"['010011', '101100']",55
26,6,"[[-0.14392784  0.47780976]
 [-0.31576678  0.2936682 ]
 [-0.38908067  0.21104093]
 [-0.50612414  0.16732255]
 [-0.61124164  0.10873321]]","{'000000': 149, '000001': 5, '000010': 66, '000011': 19, '000100': 45, '000101': 80, '000110': 40, '000111': 1, '001000': 4, '001001': 26, '001010': 6, '001011': 184, '001100': 186, '001101': 12286, '001110': 511, '001111': 1, '010001': 18, '010010': 9, '010011': 204, '010100': 197, '010101': 11944, '010110': 456, '010111': 1, '011000': 20, '011001': 12205, '011010': 30, '011011': 10504, '011100': 6, '011101': 579, '011110': 46, '011111': 33, '100000': 30, '100001': 56, '100010': 495, '100011': 7, '100100': 10604, '100101': 24, '100110': 12557, '100111': 9, '101000': 2, '101001': 520, '101010': 12088, '101011': 194, '101100': 163, '101101': 4, '101110': 23, '101111': 1, '110000': 1, '110001': 475, '110010': 12067, '110011': 186, '110100': 184, '110101': 8, '110110': 28, '110111': 1, '111000': 2, '111001': 40, '111010': 80, '111011': 43, '111100': 4, '111101': 76, '111110': 8, '111111': 159}",0.98752636,"['001101', '010101', '011001', '011011', '100100', '100110', '101010', '110010']",55
27,7,"[[-0.1808296   0.4502111 ]
 [-0.3511167   0.3106861 ]
 [-0.38126394  0.27129725]
 [-0.49251652  0.24233097]
 [-0.55781543  0.1517451 ]]","{'000000': 326, '000001': 47, '000010': 164, '000011': 122, '000100': 32, '000101': 1441, '000110': 10, '000111': 10, '001000': 356, '001001': 53, '001010': 7, '001011': 475, '001100': 2540, '001101': 28493, '001110': 4538, '001111': 24, '010000': 22, '010001': 2617, '010010': 47, '010011': 1541, '010100': 243, '010101': 1346, '010110': 8, '010111': 4, '011000': 8, '011001': 16, '011010': 1333, '011011': 264, '011100': 1565, '011101': 42, '011110': 2515, '011111': 18, '100000': 18, '100001': 2532, '100010': 43, '100011': 1614, '100100': 255, '100101': 1374, '100110': 14, '100111': 6, '101000': 10, '101001': 9, '101010': 1329, '101011': 227, '101100': 1620, '101101': 34, '101110': 2562, '101111': 15, '110000': 19, '110001': 4566, '110010': 28017, '110011': 2556, '110100': 470, '110101': 6, '110110': 64, '110111': 341, '111000': 13, '111001': 14, '111010': 1417, '111011': 27, '111100': 112, '111101': 125, '111110': 44, '111111': 320}",0.9301982,"['001101', '110010']",55
28,6,"[[-0.15771447  0.4521796 ]
 [-0.28848258  0.3065448 ]
 [-0.30558178  0.28053558]
 [-0.35841486  0.24249731]
 [-0.46722856  0.15699127]]","{'000000': 27, '000001': 5, '000010': 46, '000011': 46, '000100': 132, '000101': 24, '000110': 59, '000111': 48, '001000': 12, '001001': 85, '001010': 39, '001011': 950, '001100': 17, '001101': 30, '001110': 43, '001111': 74, '010000': 7, '010001': 116, '010010': 1, '010011': 10, '010100': 3442, '010101': 1948, '010110': 29, '011000': 118, '011001': 20927, '011010': 8, '011011': 18379, '011100': 1930, '011101': 1724, '011111': 23, '100000': 17, '100010': 1708, '100011': 1941, '100100': 18247, '100101': 7, '100110': 20597, '100111': 113, '101001': 21, '101010': 1867, '101011': 3417, '101100': 10, '101110': 141, '101111': 14, '110000': 63, '110001': 52, '110010': 32, '110011': 25, '110100': 900, '110101': 44, '110110': 79, '110111': 5, '111000': 48, '111001': 54, '111010': 24, '111011': 169, '111100': 33, '111101': 33, '111110': 3, '111111': 37}",0.9643197,"['011001', '011011', '100100', '100110']",17
29,4,"[[-0.20350689  0.5332088 ]
 [-0.41086373  0.37311706]
 [-0.47942102  0.31613976]
 [-0.49557522  0.23139   ]
 [-0.5057471   0.1416266 ]]","{'000000': 6, '000001': 11, '000010': 209, '000011': 24460, '000100': 11, '000101': 23, '000110': 367, '000111': 7, '001001': 1, '001010': 12, '001011': 248, '001100': 58, '001101': 5, '001110': 77, '001111': 5, '010001': 2, '010010': 47, '010011': 11656, '010100': 75, '010101': 91, '010110': 234, '010111': 1, '011000': 1, '011001': 245, '011010': 89, '011011': 83, '011100': 12008, '011101': 49, '011111': 3, '100000': 1, '100010': 36, '100011': 11921, '100100': 74, '100101': 98, '100110': 238, '101001': 220, '101010': 72, '101011': 74, '101100': 11766, '101101': 40, '101110': 1, '110000': 3, '110001': 88, '110010': 14, '110011': 58, '110100': 246, '110101': 9, '110110': 2, '111000': 8, '111001': 392, '111010': 34, '111011': 7, '111100': 24336, '111101': 163, '111110': 11, '111111': 4}",0.9899125,"['000011', '010011', '011100', '100011', '101100', '111100']",36
30,6,"[[-0.15771447  0.4521796 ]
 [-0.28848258  0.30654478]
 [-0.30558178  0.28053558]
 [-0.35841486  0.24249731]
 [-0.4672286   0.15699127]]","{'000000': 39, '000001': 7, '000010': 1, '000011': 127, '000100': 48, '000101': 37, '000111': 6, '001000': 149, '001001': 18, '001010': 3492, '001011': 1984, '001100': 66, '001101': 35, '001110': 32, '010000': 29, '010001': 1, '010010': 88, '010011': 46, '010100': 1734, '010101': 1906, '010110': 31, '010111': 23, '011000': 18204, '011001': 3, '011010': 840, '011011': 47, '011100': 20940, '011101': 120, '011110': 81, '011111': 4, '100000': 13, '100001': 73, '100010': 128, '100011': 20968, '100100': 35, '100101': 917, '100110': 9, '100111': 18100, '101000': 20, '101001': 40, '101010': 1853, '101011': 1687, '101100': 47, '101101': 76, '101110': 1, '101111': 19, '110001': 24, '110010': 43, '110011': 50, '110100': 1994, '110101': 3337, '110110': 26, '110111': 153, '111000': 8, '111001': 1, '111010': 38, '111011': 44, '111100': 112, '111101': 10, '111110': 6, '111111': 30}",0.9643197,"['011000', '011100', '100011', '100111']",17
31,5,"[[-0.21411346  0.6143721 ]
 [-0.43040603  0.5396795 ]
 [-0.4952903   0.4656412 ]
 [-0.53962195  0.35512847]
 [-0.5991148   0.16460434]]","{'000000': 4, '000001': 21, '000010': 2, '000011': 175, '000110': 11, '000111': 39, '001000': 13, '001001': 16, '001010': 35, '001011': 4, '001100': 10, '001101': 19, '001110': 30, '001111': 8, '010000': 9, '010001': 1921, '010010': 147, '010011': 46201, '010100': 6, '010101': 21, '010110': 19, '010111': 11, '011000': 10, '011001': 1157, '011010': 32, '011011': 4, '011100': 56, '011101': 14, '011110': 1, '011111': 1, '100000': 1, '100010': 12, '100011': 53, '100100': 6, '100101': 31, '100110': 1202, '100111': 4, '101000': 15, '101001': 36, '101010': 27, '101011': 5, '101100': 46066, '101101': 147, '101110': 1996, '101111': 8, '110000': 10, '110001': 25, '110010': 21, '110011': 16, '110100': 2, '110101': 28, '110110': 17, '110111': 17, '111000': 57, '111001': 7, '111100': 165, '111101': 3, '111110': 24, '111111': 2}",0.98289114,"['010011', '101100']",92
32,5,"[[-0.18781967  0.5497918 ]
 [-0.38248715  0.43233588]
 [-0.4510008   0.32888815]
 [-0.56463665  0.22118257]
 [-0.6127398   0.12314885]]","{'000000': 1, '000001': 17, '000010': 28, '000011': 616, '000100': 6, '000101': 136, '000111': 7, '001000': 18, '001010': 10, '001011': 4, '001100': 604, '001101': 11, '001110': 15, '001111': 3, '010000': 19, '010001': 21, '010010': 238, '010011': 23286, '010100': 20, '010110': 24, '010111': 19, '011000': 258, '011001': 30, '011010': 1607, '011011': 4, '011100': 23178, '011101': 19, '011110': 5, '011111': 11, '100000': 10, '100001': 3, '100010': 16, '100011': 22968, '100100': 11, '100101': 1550, '100110': 27, '100111': 264, '101000': 23, '101001': 30, '101011': 20, '101100': 23092, '101101': 274, '101110': 21, '101111': 20, '110000': 1, '110001': 9, '110010': 9, '110011': 597, '110100': 9, '110101': 9, '110111': 18, '111000': 16, '111010': 136, '111011': 9, '111100': 602, '111101': 22, '111110': 19}",0.9854136,"['010011', '011100', '100011', '101100']",65
33,6,"[[-0.1916742   0.5716576 ]
 [-0.37053877  0.5232224 ]
 [-0.3973689   0.44335875]
 [-0.48804265  0.2943058 ]
 [-0.6040109   0.12116122]]","{'000000': 16, '000001': 9, '000010': 2, '000011': 9, '000100': 4, '000101': 8, '000110': 3, '000111': 50, '001000': 2, '001001': 5, '001010': 3, '001011': 48578, '001100': 7, '001101': 10, '001110': 11, '001111': 41, '010000': 9, '010001': 8, '010010': 12, '010011': 55, '010100': 806, '010101': 15, '010110': 13, '010111': 23, '011000': 9, '011001': 11, '011010': 14, '011011': 32, '011100': 47, '011101': 6, '011110': 5, '011111': 5, '100000': 13, '100001': 8, '100010': 4, '100011': 68, '100100': 49, '100101': 10, '100110': 6, '100111': 10, '101000': 28, '101001': 20, '101010': 18, '101011': 838, '101100': 46, '101101': 6, '101110': 8, '101111': 7, '110000': 38, '110001': 15, '110010': 9, '110011': 12, '110100': 48831, '110101': 6, '110110': 6, '110111': 3, '111000': 50, '111001': 7, '111010': 10, '111011': 4, '111100': 18, '111101': 6, '111110': 5, '111111': 13}",0.99299157,"['001011', '110100']",129
34,6,"[[-0.15771447  0.45217964]
 [-0.2884826   0.3065448 ]
 [-0.30558178  0.28053558]
 [-0.35841486  0.24249731]
 [-0.46722856  0.15699127]]","{'000000': 36, '000001': 45, '000010': 169, '000011': 35, '000100': 6, '000101': 41, '000110': 31, '000111': 53, '001000': 27, '001001': 1689, '001010': 18172, '001011': 20773, '001101': 1904, '001110': 15, '001111': 117, '010000': 12, '010010': 3423, '010011': 26, '010100': 106, '010101': 4, '010110': 1923, '011000': 82, '011001': 29, '011010': 886, '011011': 87, '011100': 41, '011101': 21, '011110': 49, '011111': 4, '100000': 8, '100001': 38, '100010': 23, '100011': 49, '100100': 80, '100101': 948, '100110': 28, '100111': 84, '101001': 2001, '101010': 4, '101011': 107, '101100': 29, '101101': 3428, '101111': 11, '110000': 111, '110001': 1, '110010': 2007, '110100': 20932, '110101': 18178, '110110': 1686, '110111': 20, '111000': 45, '111001': 18, '111010': 42, '111011': 6, '111100': 55, '111101': 173, '111110': 42, '111111': 40}",0.9643197,"['001010', '001011', '110100', '110101']",17
35,7,"[[-0.12460336  0.36623403]
 [-0.3209264   0.23494968]
 [-0.36601216  0.19736515]
 [-0.34503376  0.21277341]
 [-0.47753313  0.15487082]]","{'000000': 139, '000001': 37, '000010': 111, '000011': 270, '000100': 60, '000101': 292, '000110': 263, '000111': 384, '001000': 44, '001001': 18, '001010': 64, '001011': 387, '001100': 23, '001101': 8263, '001110': 378, '001111': 275, '010000': 45, '010001': 286, '010010': 254, '010011': 375, '010100': 301, '010101': 197, '010110': 396, '010111': 72, '011000': 16, '011001': 8196, '011010': 376, '011011': 255, '011100': 8417, '011101': 19394, '011110': 240, '011111': 100, '100000': 115, '100001': 236, '100010': 19115, '100011': 8484, '100100': 221, '100101': 373, '100110': 8410, '100111': 17, '101000': 71, '101001': 377, '101010': 200, '101011': 311, '101100': 369, '101101': 228, '101110': 255, '101111': 57, '110000': 269, '110001': 392, '110010': 8484, '110011': 14, '110100': 358, '110101': 78, '110110': 15, '110111': 44, '111000': 404, '111001': 226, '111010': 325, '111011': 47, '111100': 265, '111101': 117, '111110': 43, '111111': 152}",0.9773132,"['001101', '011001', '011100', '011101', '100010', '100011', '100110', '110010']",17
36,7,"[[-0.14821866  0.49957302]
 [-0.30458868  0.3949257 ]
 [-0.31123236  0.38941377]
 [-0.33344886  0.3119801 ]
 [-0.40045136  0.16941184]]","{'000000': 9, '000001': 1, '000010': 9, '000011': 1, '000101': 29, '000110': 87, '000111': 10, '001000': 1, '001001': 47, '001010': 10, '001011': 39, '001100': 5, '001101': 10, '001110': 140, '001111': 25, '010000': 1, '010001': 162, '010011': 5, '010100': 21, '010101': 101, '010110': 11, '010111': 5, '011000': 52, '011001': 48587, '011010': 51, '011011': 473, '011100': 15, '011101': 90, '011110': 15, '100001': 17, '100010': 95, '100011': 12, '100100': 458, '100101': 58, '100110': 48567, '100111': 37, '101000': 3, '101001': 20, '101010': 122, '101011': 19, '101100': 6, '101101': 1, '101110': 150, '101111': 2, '110000': 23, '110001': 139, '110010': 9, '110011': 3, '110100': 40, '110101': 7, '110110': 47, '111000': 8, '111001': 100, '111010': 27, '111101': 5, '111110': 1, '111111': 12}",0.991735,"['011001', '100110']",48
37,7,"[[-0.17421257  0.49828365]
 [-0.3352487   0.38206208]
 [-0.34444547  0.33673546]
 [-0.38867885  0.29120138]
 [-0.4804806   0.18259583]]","{'000000': 125, '000001': 34, '000010': 95, '000011': 5599, '000100': 11, '000101': 44, '000110': 53, '000111': 2161, '001000': 11, '001001': 32, '001010': 54, '001011': 2056, '001100': 118, '001101': 171, '001110': 128, '010000': 45, '010001': 23, '010010': 9, '010011': 44, '010100': 134, '010101': 19, '010110': 24, '010111': 21, '011000': 154, '011001': 17, '011010': 28, '011011': 23, '011100': 38518, '011101': 175, '011110': 292, '011111': 1, '100000': 1, '100001': 283, '100010': 200, '100011': 38176, '100100': 14, '100101': 34, '100110': 27, '100111': 115, '101000': 14, '101001': 21, '101010': 21, '101011': 130, '101100': 55, '101101': 5, '101110': 25, '101111': 45, '110001': 120, '110010': 162, '110011': 118, '110100': 2107, '110101': 58, '110110': 34, '110111': 18, '111000': 2054, '111001': 55, '111010': 32, '111011': 14, '111100': 5599, '111101': 77, '111110': 31, '111111': 136}",0.961234,"['011100', '100011']",18
38,6,"[[-0.15383708  0.4150281 ]
 [-0.27261993  0.27564073]
 [-0.31114346  0.24090429]
 [-0.36320412  0.18339485]
 [-0.5244643   0.14093894]]","{'000000': 25, '000001': 9, '000010': 213, '000011': 12, '000100': 1, '000101': 285, '000110': 9665, '000111': 8880, '001000': 9, '001001': 35, '001010': 10, '001011': 105, '001100': 16, '001101': 335, '001110': 16, '001111': 43, '010000': 6, '010001': 15, '010010': 9496, '010011': 13, '010100': 6, '010101': 570, '010110': 9497, '010111': 47, '011000': 296, '011001': 324, '011010': 9008, '011011': 57, '011100': 533, '011101': 515, '011110': 44, '011111': 15, '100000': 14, '100001': 48, '100010': 521, '100011': 549, '100100': 60, '100101': 8889, '100110': 331, '100111': 274, '101000': 44, '101001': 9738, '101010': 553, '101011': 9, '101100': 13, '101101': 9266, '101110': 17, '101111': 6, '110000': 48, '110001': 19, '110010': 379, '110011': 11, '110100': 90, '110101': 14, '110110': 30, '110111': 4, '111000': 8914, '111001': 9439, '111010': 314, '111011': 7, '111100': 15, '111101': 240, '111110': 14, '111111': 29}",0.98666465,"['000110', '000111', '010010', '010110', '011010', '100101', '101001', '101101', '111000', '111001']",16
39,8,"[[-0.16697347  0.46636444]
 [-0.2900984   0.41305196]
 [-0.3135756   0.41643262]
 [-0.4166678   0.32783478]
 [-0.5027999   0.13760851]]","{'000000': 91, '000010': 1, '000011': 58, '000100': 44, '000101': 6, '000110': 11, '000111': 10, '001001': 68, '001010': 54, '001011': 45559, '001100': 18, '001101': 15, '001110': 14, '001111': 179, '010000': 45, '010001': 131, '010010': 121, '010011': 76, '010100': 146, '010101': 10, '010110': 14, '010111': 8, '011000': 105, '011001': 72, '011010': 74, '011011': 2984, '011100': 21, '011101': 13, '011110': 9, '011111': 40, '100000': 58, '100001': 10, '100010': 10, '100011': 13, '100100': 2850, '100101': 72, '100110': 74, '100111': 125, '101000': 9, '101001': 13, '101010': 13, '101011': 130, '101100': 72, '101101': 122, '101110': 111, '101111': 41, '110000': 140, '110001': 18, '110010': 16, '110011': 8, '110100': 45725, '110101': 51, '110110': 55, '110111': 1, '111000': 23, '111001': 13, '111010': 13, '111011': 43, '111100': 59, '111101': 3, '111110': 1, '111111': 111}",0.98258835,"['001011', '110100']",75
